date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2024-02-02,456.423473,0.0,41.93124714430262,0.30952380952380953,42,11292.343571428572,474278.43,19,23,1,2.1802294285714288,0.8260869564858223,10.867225547619048,-345.4826732857144,63,Greed,Greed,Feb
2024-02-03,223.30918699999998,0.0,68.62663189543068,0.10714285714285714,56,10782.5,603820.0,18,38,1,1.9582562321428572,0.47368421051385046,3.9876640535714283,-326.4670751428572,60,Greed,Greed,Feb
2024-02-04,47.62389499999999,-0.02695,31.922762604224417,0.2571428571428571,35,5805.358,203187.53,19,16,1,1.4436251428571427,1.1874999999257811,1.360682714285714,34.34629842857136,60,Greed,Greed,Feb
2024-02-05,-33.45419400000003,0.0,46.10792460482958,0.19444444444444445,72,10697.198055555556,770198.26,33,39,1,2.299298125,0.84615384613215,-0.4646415833333337,-39.94180671428579,60,Greed,Greed,Feb
2024-02-06,-215.615907,0.0,12.69131338108202,0.15469613259668508,1088,7396.280707720588,8047153.41,517,571,1,0.9086461369485294,0.9054290718022672,-0.19817638511029412,-45.93633757142864,64,Greed,Greed,Feb
2024-02-07,241.24212,0.0,56.54657345272468,0.13333333333333333,15,450.582,6758.73,7,8,1,0.022646200000000002,0.874999999890625,16.082808,102.78979628571422,62,Greed,Greed,Feb
2024-02-08,770.756024,0.0,139.74567826297627,0.4,10,2605.112,26051.12,2,8,1,0.3002887,0.24999999996875,77.07560240000001,212.89779971428564,66,Greed,Greed,Feb
2024-02-11,983.443176,0.0,108.62231864377547,0.20588235294117646,34,6244.465294117647,212311.82,23,11,1,0.7339791764705882,2.090909090719008,28.924799294117648,288.18632871428565,71,Greed,Greed,Feb
2024-02-12,913.8817869999998,-26.696452,828.6571214700353,0.375,16,14202.981249999999,227247.69999999998,11,5,1,1.6944944375,2.19999999956,57.11761168749999,386.83955728571425,70,Greed,Greed,Feb
2024-02-13,559.44389,30.05825,37.98023035380744,1.0,14,142.85642857142858,1999.99,0,14,1,-0.0028565714285714284,0.0,39.960277857142856,459.95669942857137,79,Extreme Greed,Greed,Feb
